latin,norsk,svensk,status,count
Oriolus oriolus,pirol,sommargylling,,967
Branta ruficollis,rødhalsgås,rödhalsad gås,,960
Locustella luscinioides,sumpsanger,vassångare,,984
Ardea ibis,kuhegre,kohäger,,911
Sternula albifrons,dvergterne,småtärna,,875
Falco vespertinus,aftenfalk,aftonfalk,,954
Turdus atrogularis,svartstrupetrost,svarthalsad trast,,813
Netta rufina,rødhodeand,rödhuvad dykand,,806
Streptopelia orientalis,mongolturteldue,större turturduva,,792
Saxicola maurus,asiasvartstrupe,vitgumpad buskskvätta,,768
Emberiza leucocephalos,hvithodespurv,tallsparv,,722
Bubo bubo,hubro,berguv,EN,718
Strix nebulosa,lappugle,lappuggla,VU,708
Platalea leucorodia,skjestork,skedstork,,732
Chlidonias leucopterus,hvitvingesvartterne,vitvingad tärna,,674
Perdix perdix,rapphøne,rapphöna,RE,658
Emberiza calandra,kornspurv,kornsparv,RE,658
Podiceps nigricollis,svarthalsdykker,svarthalsad dopping,,648
Serinus serinus,gulirisk,gulhämpling,,634
Alopochen aegyptiaca,niland,nilgås,SE,631
Oenanthe deserti,ørkensteinskvett,ökenstenskvätta,,626
Phylloscopus proregulus,fuglekongesanger,kungsfågelsångare,,608
Emberiza rustica,vierspurv,videsparv,CR,603
Hydrobates leucorhous,stormsvale,klykstjärtad stormsvala,VU,596
Merops apiaster,bieter,biätare,,594
Lanius senator,rødhodevarsler,rödhuvad törnskata,,563
Larus michahellis,gulbeinmåke,medelhavstrut,,547
Circus pygargus,enghauk,ängshök,,545
Calidris subruficollis,rustsnipe,prärielöpare,,539
Sibirionetta formosa,gulkinnand,gulkindad kricka,,541
Melanitta stejnegeri,sibirsjøorre,sibirisk knölsvärta,,515
Tarsiger cyanurus,blåstjert,tajgablåstjärt,,513
Phylloscopus trochiloides,østsanger,lundsångare,,486
Tringa flavipes,gulbeinsnipe,mindre gulbena,,481
Rhodostethia rosea,rosenmåke,rosenmås,,478
Phylloscopus fuscatus,brunsanger,brunsångare,,471
Larus smithsonianus,amerikagråmåke,kanadatrut,,467
Phylloscopus humei,blekbrynsanger,bergtajgasångare,,467
Calidris fuscicollis,bonapartesnipe,vitgumpsnäppa,,451
Lanius minor,rosenvarsler,svartpannad törnskata,,445
Burhinus oedicnemus,triel,tjockfot,,440
Pluvialis fulva,sibirlo,sibirisk tundrapipare,,429
Gavia pacifica,amerikastorlom,stillahavslom,,415
Podilymbus podiceps,ringnebbdykker,tjocknäbbad dopping,,383
Chroicocephalus philadelphia,kanadahettemåke,trädmås,,407
Oenanthe pleschanka,svartstrupesteinskvett,nunnestenskvätta,,380
Luscinia megarhynchos,sørnattergal,sydnäktergal,,380
Cairina moschata,knoppand,myskand,NK,343
Tringa stagnatilis,damsnipe,dammsnäppa,,341
Anarhynchus leschenaultii,ørkenlo,ökenpipare,,331
Pluvialis dominica,kanadalo,amerikansk tundrapipare,,326
Remiz pendulinus,pungmeis,pungmes,,325
Plegadis falcinellus,bronseibis,bronsibis,,316
Leucophaeus pipixcan,franklinmåke,präriemås,,311
Gelochelidon nilotica,sandterne,sandtärna,,286
Anarhynchus alexandrinus,hvitbrystlo,svartbent strandpipare,,286
Aythya affinis,purpurhodeand,mindre bergand,,277
