norsk,latin,status,count
Kongeterne,Thalasseus maximus,,3
Tøyleterne,Onychoprion anaethetus,,3
Langhalefink,Carpodacus sibiricus,,3
Blåsultanhøne,Porphyrio porphyrio,,2
Pigghaleseiler,Hirundapus caudacutus,,2
Undulat,Melopsittacus undulatus,,2
Topplunde,Fratercula cirrhata,,2
Hornlunde,Fratercula corniculata,,2
Flekkpetrell,Daption capense,,2
Karminfink,Carpodacus roseus,,2
Saheldue,Streptopelia roseogrisea,,2
Steinfink,Bucanetes mongolicus,,2
Stortrappe,Otis tarda,,1
Rosenpelikan,Pelecanus rufescens,,1
Svartvingeglente,Elanus caeruleus,,1
Gåsegribb,Gyps fulvus,,1
Båndhavørn,Haliaeetus leucoryphus,,1
Prærievåk,Buteo swainsoni,NK,1
Dvergørn,Hieraaetus pennatus,,1
Ørkenløper,Cursorius cursor,,1
Krabbehegre,Butorides striata,,1
Amerikarørdrum,Botaurus lentiginosus,,1
Brunsule,Sula leucogaster,,1
Gråhodealbatross,Thalassarche chrysostoma,,1
Silkepetrell,Pterodroma mollis,,1
Kongepingvin,Aptenodytes patagonicus,,1
Langtåsnipe,Calidris subminuta,,1
Sibirsnipe,Calidris tenuirostris,,1
Dvergspove,Numenius minutus,,1
Gulhodetrupial,Xanthocephalus xanthocephalus,,1
Bobolink,Dolichonyx oryzivorus,,1
Sothettebylbyl,Pycnonotus aurigaster,,1
Sisselspurv,Spiza americana,,1
Gulbrynspurv,Emberiza chrysophrys,,1
Østkronsanger,Phylloscopus coronatus,,1
Gulkronebisp,Euplectes afer,,1
Gulnebbgjøk,Coccyzus americanus,,1
Amerikapurpurhøne,Porphyrio martinica,,1
Wilsonstormsvale,Oceanites oceanicus,,1
Svartgumptrupial,Icterus wagleri,,1
Blåtykknebb,Passerina caerulea,,1
Mugimakifluesnapper,Ficedula mugimaki,,1
Alpejernspurv,Prunella collaris,,1
Mandsjuriastær,Agropsar sturninus,,1
Borealvarsler,Lanius borealis,,1
Himalayagribb,Gyps himalayensis,,1
Askedrongo,Dicrurus leucophaeus,,1
