id,lokalitet,hovedlokalitet,kommune,fylke,lat,lon,count,observers,radius,geometry,public,mine,super
2086941,Berga,Tämnaren,Heby,,60.109763,17.264263,0,0,308,,1,0,0
2086945,Torkan,Söderby-Karl,Norrtälje,,59.879741,18.710147,0,0,93,,1,0,0
2086948,Valsätra IP,Uppsala,Uppsala,,59.821014,17.624137,0,0,200,,1,0,0
2086949,Edsbro,,Norrtälje,,59.895361,18.492135,0,0,5476,,1,0,1
2086950,Hallstavik,Häverö,Norrtälje,,60.050434,18.599977,0,0,393,,1,0,0
2086951,Gårsjön,Funbo,Uppsala,,59.833214,17.871354,0,0,118,,1,0,0
2086952,Söderby kvarn,Funbo,Uppsala,,59.833200,17.849803,0,0,463,,1,0,0
2086953,Funbo,,Uppsala,,59.856557,17.855364,0,0,5922,,1,0,1
2086954,Hallkved,Funbosjön,Uppsala,,59.861587,17.869512,0,0,148,,1,0,0
2086955,Gunsta,Funbo,Uppsala,,59.854947,17.833418,0,0,708,,1,0,0
2086961,Hammarby kyrkogård,Uppsala,Uppsala,,59.826175,17.643002,0,0,183,,1,0,0
2086964,Nergårdsholme,Simsjön Hölö,Södertälje,,59.053480,17.521280,0,0,127,,1,0,0
2086966,Ramsta k:a,Ramsta,Uppsala,,59.794446,17.437988,0,0,231,,1,0,0
2086967,Ramsta,,Uppsala,,59.792981,17.438114,0,0,3195,,1,0,1
2086968,Ramstalund,Ramsta,Uppsala,,59.797677,17.443244,0,0,230,,1,0,0
2086969,Hagby k:a,Hagby sn,Uppsala,,59.801143,17.374828,0,0,56,,1,0,0
2086970,Focksta kvarn,Hagby sn,Uppsala,,59.794215,17.369303,0,0,49,,1,0,0
2086971,Säva,Gryta sn,Enköping,,59.766196,17.386982,0,0,699,,1,0,0
2086972,Sunnanå,Hagby sn,Uppsala,,59.814294,17.361281,0,0,553,,1,0,0
2086976,Tegnergatan,Norrmalm,Stockholm,,59.339310,18.058131,0,0,81,,1,0,0
2086980,Hargshamn,Hargsviken,Östhammar,,60.169637,18.463514,0,0,1212,,1,0,0
2086981,Järnboden,Hargsviken,Östhammar,,60.176585,18.439808,0,0,256,,1,0,0
2086982,Hargs bruk,Harg,Östhammar,,60.182267,18.398530,0,0,82,,1,0,0
2086983,Harg,,Östhammar,,60.186301,18.395116,0,0,5261,,1,0,1
2086997,Bergby,Vendelsjön,Tierp,,60.177094,17.624317,0,0,325,,1,0,0
2086998,Vendel,,Tierp,,60.165901,17.603611,0,0,5537,,1,0,1
2087000,Uggelbo,Vendel,Tierp,,60.220258,17.555560,0,0,1436,,1,0,0
2087001,Åkra,Vendelsjön,Tierp,,60.139662,17.629599,0,0,760,,1,0,0
2087002,Romstarbo,Vendelsjön,Tierp,,60.160404,17.648149,0,0,407,,1,0,0
2087003,Hov,Vendelsjön,Tierp,,60.171653,17.686022,0,0,267,,1,0,0
2087004,Skarbo,Vendelsjön,Tierp,,60.188029,17.710501,0,0,533,,1,0,0
2087007,Ströja,Börje sn,Uppsala,,59.905426,17.514642,0,0,419,,1,0,0
2087008,Ekebyboda,Börje sn,Uppsala,,59.898349,17.515010,0,0,366,,1,0,0
2087009,Broby,Börje sn,Uppsala,,59.895934,17.541115,0,0,650,,1,0,0
2087010,Sundbro flygplats,Bälinge,Uppsala,,59.925370,17.534270,0,0,151,,1,0,0
2087011,Sundbro,Bälinge,Uppsala,,59.927305,17.530470,0,0,150,,1,0,0
2087012,Forkarbyholm,Bälinge,Uppsala,,59.919179,17.564094,0,0,374,,1,0,0
